kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,中,15.6,2552,-16.0057,-5.4924,31.06,42.2,57.8,0,48.55,34.37,65.63,0.1078,-0.0437
233MA,ma233,大周期天气过滤,233MA下侧偏离,1,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,弱,7.4,635,-3.6764,-1.3352,50.84,46.3,53.7,6.46,49.29,34.17,65.83,0.0432,0.0866
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,53.92,191,-0.0268,-0.0106,59.17,23.04,76.96,37.17,47.12,44.5,55.5,0.2543,-0.0571
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,0.7,1154,18.6276,4.4277,81.49,50.35,49.65,0.09,53.12,44.45,55.55,-0.0072,-0.0114
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,3.88,722,4.815,1.4859,65.66,48.06,51.94,5.12,50.28,40.03,59.97,0.0307,0.0949
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,弱,7.84,2552,-16.0057,-5.4924,31.06,46.08,53.92,0.16,48.35,35.89,64.11,0.0936,-0.1172
233MA,ma233,大周期天气过滤,233MA下侧偏离,3,大周期偏弱,谨慎过滤,趋势多头降权，反弹策略需要更严格确认,未到极端，但大天气仍偏弱,中,13.08,635,-3.6764,-1.3352,50.84,43.46,56.54,14.17,50.87,39.84,60.16,0.1302,0.1871
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,强,75.92,191,-0.0268,-0.0106,59.17,12.04,87.96,38.22,42.93,41.88,58.12,0.5507,-0.0993
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,弱,8.5,1152,18.6226,4.4265,81.47,54.25,45.75,0.17,52.08,52,48,-0.1005,-0.0096
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,弱,4.98,722,4.815,1.4859,65.66,47.51,52.49,12.6,51.66,41.69,58.31,0.0489,0.1682
