kind,kindKey,role,state,horizon,weatherTag,ruleSignal,ruleUse,riskNote,confidence,probabilityEdgePct,occurrences,medianDeviationRate,medianDeviationAtr,medianPositionPct,returnCloserProbabilityPct,continueAwayProbabilityPct,crossBaselineProbabilityPct,reversionDirectionHitPct,atrUpProbabilityPct,atrDownProbabilityPct,medianDistanceChangeAtr,avgReturnPct
233MA,ma233,大周期天气过滤,233MA下侧极端,1,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,33.34,18,-27.1649,-1.1413,0,33.33,66.67,5.56,33.33,50,50,0.1472,-0.7997
233MA,ma233,大周期天气过滤,233MA贴近中轴,1,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,77.78,9,4.1192,0.1149,18.36,11.11,88.89,11.11,22.22,55.56,44.44,0.1439,2.6985
233MA,ma233,大周期天气过滤,233MA上侧极端,1,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,0,18,77.1551,2.5818,92.53,50,50,0,50,38.89,61.11,0.0092,-1.4338
233MA,ma233,大周期天气过滤,233MA上侧偏离,1,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,0,14,35.4265,1.0238,38.86,50,50,14.29,50,64.29,35.71,-0.0594,-0.435
233MA,ma233,大周期天气过滤,233MA下侧极端,3,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,37.5,16,-25.9523,-1.0558,0,31.25,68.75,12.5,37.5,25,75,0.2136,0.2695
233MA,ma233,大周期天气过滤,233MA贴近中轴,3,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,55.56,9,4.1192,0.1149,18.36,22.22,77.78,44.44,44.44,44.44,55.56,0.4441,11.1689
233MA,ma233,大周期天气过滤,233MA上侧极端,3,大周期强势高位,趋势过滤,不把高乖离直接当做空信号，更多提示追高风险,强势区可以长期维持在 233MA 上方,样本偏少,11.12,18,77.1551,2.5818,92.53,55.56,44.44,0,50,50,50,-0.0448,-1.6564
233MA,ma233,大周期天气过滤,233MA上侧偏离,3,大周期偏强,顺势过滤,趋势策略可加权，均值回落只当降温提示,不是天然做空区域,样本偏少,57.14,14,35.4265,1.0238,38.86,78.57,21.43,14.29,85.71,78.57,21.43,-0.3583,-7.6783
233MA,ma233,大周期天气过滤,233MA下侧极端,5,大周期弱势深水区,风险过滤,禁止仅凭超跌当买点，低吸必须等短期指标和波动确认,历史上继续远离 233MA 的概率不低,样本偏少,85.72,14,-24.3094,-0.9531,0,7.14,92.86,14.29,28.57,35.71,64.29,0.5371,3.5303
233MA,ma233,大周期天气过滤,233MA贴近中轴,5,大周期中轴附近,方向切换区,不做趋势天气判断，等待方向重新拉开,中轴附近容易出现反复,样本偏少,77.78,9,4.1192,0.1149,18.36,11.11,88.89,44.44,44.44,33.33,66.67,0.7507,4.5721
