instrument,bar,dataStatus,historyQuality,periodWeight,effectiveRows,sampleWeight,truncationFactor,aggregationFactor,aggregationDropRatio,truncated,truncationReason,requiredWarmupBars,source,firstDate,lastDate,cleanRows,atr3Pct,atr8Pct,atr13Pct,atr21Pct,middlePositionPct,maPositionPct,deviationWeather,date,close,gate,topWeatherRoute,topWeatherScore,weatherSummary,actionBias,volatilityState,atrPct,atrPercentile,volatilityMultiple,volatilityMultiplePercentile,remainingMomentumAtr,remainingMomentumState,fiveDayAtrDownProbabilityPct,fiveDayAtrUpProbabilityPct,fiveDayFutureMomentumPositivePct,atr3To21,atr8To21,middleState,middleDeviationRate,middleDeviationAtr,middleTenDayReturnCloserPct,maState,maDeviationRate,maDeviationAtr,maTenDayContinueAwayPct,trendState,trendScore,resonanceDirection,resonanceCount,volumeState,volumeMultiple,deviationRiskNote,score_trendFollowing,score_meanReversion,score_breakout,score_wait,score_grid
BTC-USDT,1D,ok,half_weight,0.7,2923.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2017-10-10,2026-05-31,3156,2.805,2.6993,2.7225,2.8227,23.4373,45.2206,短期过冷 + 大周期弱势深水区,2026-05-31,71130.6,黄,向下突破,69.0,低波动启动 / 振幅已超ATR / 短期过冷 / 大周期弱势深水区,可观察短线回归，但仍受大周期弱势约束,低波动启动,2.7318,10.96,1.6161,90.34,0.6161,振幅已超ATR,50.77,49.23,40.73,0.9937,0.9563,中值下侧极端,-7.1435,-2.8161,84.55,233MA下侧极端,-14.8616,-6.3899,53.67,强趋势下行,-8.1515,down,4,量能正常,0.9367,如果大周期仍弱，只能当短线天气看；历史上继续远离 233MA 的概率不低,84.0,84.0,69.0,36.24,12.0
ETH-USDT,1D,ok,half_weight,0.7,2923.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2017-10-10,2026-05-31,3156,2.9498,3.3215,3.4773,3.7209,18.8401,43.9944,短期过冷 + 大周期弱势深水区,2026-05-31,1968.47,绿,高抛均值回归,36.0,低波动启动 / 接近一倍ATR / 短期过冷 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,3.5066,7.62,0.9644,58.91,-0.0356,接近一倍ATR,49.15,50.85,35.83,0.7927,0.8926,中值下侧极端,-8.4896,-2.6457,87.8,233MA下侧极端,-26.435,-10.2477,54.02,强趋势下行,-9.3653,down,4,量能正常,0.817,如果大周期仍弱，只能当短线天气看；历史上继续远离 233MA 的概率不低,70.0,92.0,37.0,45.12,26.0
SOL-USDT,1D,ok,half_weight,0.7,1838.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2020-09-29,2026-05-31,2071,3.5778,3.7293,3.8464,4.0375,22.2729,39.157,短期过冷 + 大周期弱势深水区,2026-05-31,79.62,黄偏绿,低吸均值回归,84.0,低波动启动 / 振幅已超ATR / 短期过冷 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,3.8673,1.14,1.2698,78.26,0.2698,振幅已超ATR,50.08,49.92,43.3,0.8861,0.9237,中值下侧极端,-10.3277,-2.9781,85.58,233MA下侧极端,-30.8427,-11.5321,53.42,强趋势下行,-8.5305,down,4,量能正常,0.8643,如果大周期仍弱，只能当短线天气看；历史上继续远离 233MA 的概率不低,84.0,84.0,69.0,36.24,12.0
BNB-USDT,1D,ok,half_weight,0.7,1026.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2022-12-20,2026-05-31,1259,6.4213,4.404,3.7473,3.3317,46.0024,39.1882,短期下侧偏离 + 大周期弱势深水区,2026-05-31,677.6,黄偏绿,向上突破,77.0,低波动启动 / 振幅已超ATR / 短期下侧偏离 / 大周期弱势深水区,不把短期下偏当买点，等待更强共振,低波动启动,3.6673,43.06,2.2214,96.59,1.2214,振幅已超ATR,42.6,57.4,43.98,1.9273,1.3218,中值下侧偏离,-1.3754,-0.3803,52.69,233MA下侧极端,-13.3762,-4.2107,51.47,强趋势上行,4.704,up,4,放量,4.0293,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,91.52,44.0,77.0,35.19,6.0
XRP-USDT,1D,ok,half_weight,0.7,2831.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2018-01-10,2026-05-31,3064,3.8399,3.6356,3.6301,3.7053,9.6602,25.6942,短期过冷 + 大周期弱势深水区,2026-05-31,1.28,黄偏绿,低吸均值回归,84.0,低波动启动 / 振幅已超ATR / 短期过冷 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,3.6334,3.03,1.3608,83.69,0.3608,振幅已超ATR,45.43,54.57,37.33,1.0363,0.9812,中值下侧极端,-8.9922,-2.7194,95.16,233MA下侧极端,-27.0278,-10.1939,52.24,强趋势下行,-7.4702,down,4,量能正常,0.9309,如果大周期仍弱，只能当短线天气看；历史上继续远离 233MA 的概率不低,84.0,84.0,69.0,36.24,12.0
DOGE-USDT,1D,ok,half_weight,0.7,2281.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2019-07-14,2026-05-31,2514,3.372,4.0559,4.3392,4.5318,66.4873,34.185,短期下侧偏离 + 大周期弱势深水区,2026-05-31,0.1,黄偏绿,低吸均值回归,65.19,低波动启动 / 接近一倍ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,4.3721,8.18,0.8234,55.44,-0.1766,接近一倍ATR,51.13,48.87,35.19,0.7441,0.895,中值下侧偏离,-8.5898,-2.1493,58.03,233MA下侧极端,-20.9178,-6.0498,57.85,强趋势下行,-5.4265,down,4,量能正常,0.8358,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,77.13,65.19,37.0,47.2,26.0
ADA-USDT,1D,ok,half_weight,0.7,2638.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2018-07-22,2026-05-31,2871,4.0794,4.1422,4.2961,4.5538,15.4115,17.7415,短期过冷 + 大周期弱势深水区,2026-05-31,0.23,黄偏绿,低吸均值回归,84.0,低波动启动 / 振幅已超ATR / 短期过冷 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,4.326,4.88,1.2322,77.31,0.2322,振幅已超ATR,43.52,56.48,44.07,0.8958,0.9096,中值下侧极端,-10.7002,-2.7699,93.85,233MA下侧极端,-36.4845,-13.2783,57.16,强趋势下行,-10.2444,down,4,量能正常,0.7734,如果大周期仍弱，只能当短线天气看；历史上继续远离 233MA 的概率不低,84.0,84.0,69.0,36.24,12.0
LINK-USDT,1D,ok,half_weight,0.7,2831.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2018-01-10,2026-05-31,3064,4.0647,4.5578,4.6847,4.7329,21.4248,40.4743,短期下侧偏离 + 大周期弱势深水区,2026-05-31,8.91,黄偏绿,低吸均值回归,56.02,低波动启动 / 接近一倍ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,4.6938,4.64,0.9131,55.24,-0.0869,接近一倍ATR,43.73,56.27,39.98,0.8588,0.963,中值下侧偏离,-8.9116,-2.0843,55.58,233MA下侧极端,-22.9764,-6.3552,47.69,强趋势下行,-7.6536,down,4,量能正常,0.7758,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,96.0,56.02,49.0,34.56,26.0
AVAX-USDT,1D,ok,half_weight,0.7,1846.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2020-09-21,2026-05-31,2079,3.9722,4.2878,4.4159,4.5885,19.3447,54.8996,短期下侧偏离 + 大周期弱势深水区,2026-05-31,8.73,黄偏绿,低吸均值回归,60.44,低波动启动 / 接近一倍ATR / 短期下侧偏离 / 大周期弱势深水区,均值回归可观察，但要服从大周期过滤,低波动启动,4.4367,4.38,1.0247,64.79,0.0247,接近一倍ATR,44.25,55.75,37.31,0.8657,0.9345,中值下侧偏离,-7.7199,-1.8856,51.03,233MA下侧极端,-27.4037,-8.5081,57.2,强趋势下行,-6.972,down,4,缩量,0.7117,优势不够大，不能单独触发策略；历史上继续远离 233MA 的概率不低,82.0,60.44,37.0,52.52,4.0
TON-USDT,1D,ok,half_weight,0.7,1262.0,1.0,0.7,1.0,0.0,True,requested_start_not_reached,233,OKX,2022-04-28,2026-05-31,1495,9.6213,9.157,9.0812,8.4805,47.6937,72.7217,短期贴近中轴 + 大周期偏强,2026-05-31,2.08,黄偏绿,向上突破,93.0,高波动扩张 / 振幅已超ATR / 短期贴近中轴 / 大周期偏强,观察,高波动扩张,9.0274,88.29,1.6792,91.67,0.6792,振幅已超ATR,66.88,33.12,41.37,1.1345,1.0798,中值贴近中轴,-1.1653,-0.1306,9.44,233MA上侧偏离,27.3928,2.3819,63.12,强趋势上行,13.1065,up,3,量能正常,1.4525,贴近中轴时继续拉伸概率通常更高；不是天然做空区域,100.0,0.0,93.0,19.44,0.0
